aX,aY,aZ,gX,gY,gZ
-0.457,-1.654,1.571,145.447,-102.478,-21.179
-0.177,-1.560,1.760,167.908,-104.187,27.893
-0.194,-1.133,1.932,153.259,-83.130,74.097
-0.183,-0.803,1.913,124.573,-42.114,82.947
-0.082,-0.646,1.657,66.589,10.376,70.923
-0.030,-0.672,1.324,20.874,55.908,49.683
-0.012,-0.713,0.920,8.728,85.327,36.682
0.027,-0.643,0.450,17.578,100.769,37.537
0.077,-0.458,0.049,19.348,100.525,42.725
0.071,-0.266,-0.330,15.381,94.971,40.588
-0.006,-0.146,-0.738,20.447,86.304,25.818
0.006,-0.077,-1.093,22.034,71.350,2.075
0.016,-0.147,-1.210,42.297,42.969,-27.527
0.029,-0.495,-1.077,75.073,6.775,-57.800
0.016,-0.915,-1.028,75.684,-5.066,-76.843
0.103,-1.181,-1.130,62.927,1.587,-75.134
0.167,-1.246,-1.157,48.706,3.845,-59.021
0.220,-1.233,-1.099,42.969,5.737,-43.030
0.310,-1.349,-1.119,36.072,20.996,-33.813
0.209,-1.636,-1.206,11.902,48.035,-27.405
0.158,-1.859,-1.397,-22.583,80.139,-9.338
0.045,-1.754,-1.645,-47.791,108.459,25.024
-0.105,-1.434,-1.946,-61.462,127.075,59.998
-0.151,-0.974,-2.233,-65.918,132.446,82.642
-0.143,-0.638,-2.282,-65.796,116.577,83.618
-0.048,-0.635,-1.870,-53.772,77.576,62.256
0.014,-0.820,-1.165,-29.602,38.696,36.682
0.037,-0.868,-0.581,-3.845,28.198,20.874
0.024,-0.826,-0.299,15.991,44.495,10.681
-0.026,-0.974,-0.242,21.118,67.078,-5.737
-0.129,-1.249,-0.288,16.174,84.106,-21.790
-0.248,-1.425,-0.525,16.235,97.229,-24.231
-0.244,-1.489,-0.797,7.996,103.882,-17.883
-0.224,-1.745,-0.816,-10.803,91.797,-11.719
-0.193,-1.676,-0.839,10.193,77.026,9.766
-0.153,-1.421,-0.686,20.508,61.218,34.668
-0.128,-1.161,-0.514,20.569,54.504,47.791
-0.117,-1.055,-0.570,1.709,65.002,50.781
-0.086,-0.839,-0.680,-25.452,74.829,57.312
-0.059,-0.604,-0.741,-23.315,72.510,61.157
-0.018,-0.386,-0.736,-13.550,61.707,54.810
-0.000,-0.306,-0.626,-4.578,47.485,37.476
-0.017,-0.417,-0.524,-6.409,39.429,11.597
-0.039,-0.629,-0.567,-16.724,42.175,-10.803
-0.053,-0.861,-0.612,-17.883,40.466,-23.254
-0.065,-1.020,-0.543,-5.127,28.748,-25.635
-0.079,-1.052,-0.437,13.672,18.127,-20.569
-0.081,-1.024,-0.397,24.597,15.869,-13.672
-0.074,-0.960,-0.389,24.475,17.151,-7.751
-0.071,-0.906,-0.383,19.775,17.090,-4.395
-0.073,-0.874,-0.403,12.390,18.127,-3.723
-0.071,-0.835,-0.436,8.484,18.860,-3.662
-0.069,-0.849,-0.437,6.653,16.602,-5.554
-0.077,-0.949,-0.397,4.089,12.085,-9.705
-0.092,-1.020,-0.402,0.977,11.108,-9.888
-0.106,-1.031,-0.496,-5.371,13.428,-5.798
-0.103,-1.001,-0.554,-5.859,11.902,-2.441
-0.076,-0.944,-0.513,0.549,2.869,0.366
-0.063,-0.932,-0.417,4.700,-5.798,-0.122
-0.051,-0.936,-0.366,6.409,-6.958,-2.075
-0.052,-0.929,-0.368,8.240,-4.883,-2.197
-0.056,-0.953,-0.371,6.348,-3.662,-3.052
-0.065,-1.000,-0.371,3.357,-2.869,-3.784
-0.068,-1.028,-0.390,1.648,-1.343,-3.479
-0.071,-1.027,-0.433,2.380,0.610,-2.136
-0.071,-1.018,-0.462,4.639,-0.061,-0.793
-0.073,-1.023,-0.467,7.568,-2.747,-0.183
-0.067,-1.009,-0.460,9.338,-4.822,0.671
-0.056,-0.990,-0.422,12.207,-7.507,2.075
-0.046,-1.005,-0.343,14.587,-10.498,1.587
-0.050,-1.035,-0.296,14.282,-9.583,1.587
-0.061,-1.023,-0.308,9.583,-4.456,3.845
-0.066,-0.984,-0.353,4.395,0.549,6.897
-0.064,-0.975,-0.371,2.747,1.953,7.568
-0.068,-1.000,-0.373,2.625,1.587,6.653
-0.069,-1.017,-0.392,3.845,2.441,6.958
-0.069,-1.010,-0.417,6.165,3.479,8.728
-0.070,-0.993,-0.433,9.705,2.991,10.803
-0.069,-0.982,-0.436,9.827,1.465,12.573
-0.056,-0.963,-0.409,5.127,-0.366,13.489
-0.049,-0.941,-0.381,2.991,-1.526,14.709
-0.053,-0.976,-0.367,-4.822,-0.366,13.794
-0.061,-1.002,-0.405,-16.235,3.662,13.550
-0.052,-0.983,-0.431,-28.748,6.042,16.357
-0.030,-0.950,-0.421,-37.659,5.005,19.348
-0.020,-0.928,-0.406,-41.565,4.089,20.020
-0.016,-0.919,-0.443,-37.292,5.066,19.348
-0.002,-0.892,-0.467,-30.457,4.028,18.250
0.008,-0.841,-0.450,-21.362,-0.549,17.517
0.016,-0.815,-0.416,-14.587,-3.845,13.062
0.020,-0.836,-0.369,-12.756,-5.737,7.568
0.017,-0.874,-0.319,-16.724,-5.493,2.014
0.016,-0.867,-0.328,-16.174,-3.174,-0.366
0.008,-0.852,-0.350,-10.803,-1.831,-2.380
0.004,-0.882,-0.364,-5.005,-2.686,-5.981
