aX,aY,aZ,gX,gY,gZ
1.468,0.479,-1.028,57.312,82.336,-93.811
1.339,0.285,-1.470,86.304,117.188,-132.812
1.173,-0.034,-1.860,119.690,143.494,-169.983
0.975,-0.442,-2.260,148.010,160.217,-199.341
0.761,-0.594,-2.724,170.105,170.715,-207.703
0.457,-0.803,-3.234,181.030,170.410,-205.200
0.130,-0.928,-3.848,180.542,159.851,-193.604
-0.087,-0.744,-4.000,174.377,126.404,-167.175
-0.266,-0.453,-4.000,159.790,61.768,-143.066
-0.454,-0.262,-4.000,128.296,-24.780,-132.080
-0.568,-0.241,-3.614,83.252,-116.699,-129.700
-0.620,-0.579,-1.931,29.236,-211.060,-129.822
-0.683,-1.178,-0.256,-30.273,-271.484,-130.371
-0.746,-1.844,0.988,-72.632,-295.227,-118.286
-0.744,-2.237,2.637,-72.205,-332.886,-85.815
-0.569,-0.937,3.821,43.945,-340.698,-32.349
-0.389,0.203,3.455,196.838,-271.851,-30.884
-0.516,-0.910,2.893,228.943,-230.957,-125.244
-0.443,-1.733,2.998,189.026,-260.193,-161.926
-0.106,-1.931,3.217,123.596,-292.603,-116.333
0.331,-2.052,3.592,31.128,-304.626,-50.415
0.751,-1.632,4.000,-47.913,-300.842,32.104
1.118,-0.551,4.000,-86.304,-263.306,111.450
1.340,0.652,3.998,-81.177,-187.561,162.903
1.308,1.008,3.378,-78.186,-105.408,154.053
1.171,1.339,2.734,-68.787,-36.987,124.573
1.138,1.640,2.305,-44.067,8.606,93.872
0.883,1.621,2.035,-20.142,46.204,40.222
0.553,0.970,1.214,-8.362,99.182,-34.546
0.243,0.091,0.394,10.315,130.493,-95.581
0.067,-0.872,-0.208,8.484,126.526,-122.620
0.018,-1.472,-0.401,-12.939,95.398,-104.614
-0.038,-1.522,-0.295,-36.072,55.420,-53.711
0.009,-1.097,-0.362,-38.330,32.898,-3.601
0.108,-0.992,-0.331,-42.053,16.235,19.409
0.258,-1.109,-0.174,-55.115,-4.700,27.649
0.459,-1.065,0.048,-61.523,-20.630,48.340
0.651,-0.812,0.408,-67.627,-33.875,75.317
0.792,-0.425,0.706,-64.941,-37.354,96.252
0.848,-0.012,0.806,-52.246,-26.611,102.539
0.877,0.282,0.770,-31.372,-12.024,92.773
0.865,0.345,0.778,-14.160,-4.333,70.251
0.815,0.222,0.757,-4.150,0.000,42.236
0.704,0.082,0.623,-2.380,9.888,16.052
0.700,-0.180,0.316,3.662,19.287,-5.859
0.670,-0.382,0.223,6.348,19.409,-18.860
0.708,-0.696,0.149,-1.770,14.954,-23.254
0.777,-0.711,0.294,0.549,0.854,-13.428
0.861,-0.705,0.436,-1.709,-7.019,-2.136
0.913,-0.635,0.492,-7.202,-6.042,8.545
0.952,-0.536,0.500,-12.146,-3.784,18.250
0.980,-0.452,0.504,-16.479,-2.136,25.269
1.004,-0.215,0.553,-12.878,-1.892,30.212
1.006,-0.014,0.570,-4.150,1.099,27.466
0.961,-0.002,0.489,4.089,6.775,13.916
0.934,-0.096,0.351,13.977,11.353,-0.732
0.925,-0.284,0.328,17.700,8.484,-9.888
0.936,-0.375,0.411,15.503,1.953,-10.864
0.954,-0.406,0.466,13.916,-0.427,-6.348
0.970,-0.477,0.517,10.803,-0.488,-3.662
0.972,-0.431,0.555,8.362,0.916,2.014
0.977,-0.313,0.553,8.606,4.578,8.728
0.973,-0.173,0.609,9.583,6.348,11.536
0.953,-0.038,0.610,12.390,10.559,9.766
